time,price
20221102,637
20221101,640
20221031,624
20221030,617
20221029,634
20221026,651
20221025,670
20221024,682
20221023,685
20221022,687
20221019,682
20221018,697
20221017,689
20221016,694
20221015,710
20221012,718
20221011,720
20221010,708
20221009,704
20221008,723
20221004,719
20221003,717
20221002,730
20221001,749
20220928,743
20220926,732
20220924,733
20220921,754
20220920,774
20220919,791
20220918,803
20220914,819
20220913,821
20220912,815
20220911,821
20220910,841
20220907,861
20220906,848
20220905,826
20220904,806
20220903,796
20220831,817
20220830,799
20220829,780
20220828,801
20220827,811
20220824,807
20220823,788
20220822,770
20220821,758
20220820,752
20220817,741
20220816,736
20220815,732
20220814,720
20220813,702
20220810,687
20220809,673
20220806,673
20220803,673
20220802,673
20220801,673
20220731,674
20220730,693
20220727,710
20220726,709
20220725,730
20220724,738
20220723,738
20220720,738
20220719,738
20220717,738
20220716,742
20220713,759
20220712,740
20220711,761
20220709,778
20220706,797
20220705,796
20220704,776
20220703,794
20220702,816
20220629,831
20220628,807
20220627,787
20220626,798
20220625,791
20220622,788
20220621,789
20220620,811
20220619,831
20220618,830
20220615,807
20220614,824
20220613,839
20220612,844
20220611,869
20220608,881
20220607,881
20220606,881
20220601,881
20220531,872
20220530,863
20220529,878
20220528,904
20220525,910
20220524,889
20220523,915
20220522,943
20220521,943
20220518,943
20220517,943
20220516,931
20220515,914
20220514,938
20220511,943
20220510,942
20220509,962
20220508,937
20220507,917
20220502,914
20220501,925
20220430,921
20220427,921
20220426,930
20220425,908
20220424,920
20220420,894
20220419,875
20220418,867
20220417,844
20220416,848
20220413,828
20220412,843
20220411,865
20220410,856
20220409,833
20220406,810
20220405,812
20220404,822
20220403,839
20220330,840
20220329,838
20220328,815
20220327,815
20220326,812
20220319,813
20220316,815
20220315,834
20220314,856
20220313,834
20220312,825
20220309,847
20220308,866
20220307,843
20220306,827
20220305,805
20220302,805
20220228,783
20220227,761
20220226,779
20220223,760
20220222,750
20220221,745
20220220,745
20220219,738
20220216,725
20220214,718
20220213,718
20220212,702
20220209,683
20220208,678
20220207,693
20220206,712
20220205,734
20220202,746
20220201,766
20220131,745
20220130,733
20220129,714
20220126,694
20220125,693
20220124,713
20220123,733
20220122,755
20220119,776
20220118,798
20220117,818
20220116,837
20220115,861
20220112,885
20220111,898
20220110,922
20220109,915
20220108,915
20220105,915
20220104,900
20220103,894
20220102,894
20220101,894
20211229,894
20211228,901
20211227,902
20211226,906
20211225,934
20211222,934
20211221,942
20211220,915
20211219,898
20211218,874
20211215,896
20211214,916
20211213,935
20211212,937
20211211,937
20211208,937
20211207,937
20211206,937
20211205,963
20211204,986
20211201,986
20211130,1014
20211129,1037
20211128,1040
20211127,1054
20211124,1073
20211123,1102
20211122,1078
20211121,1060
20211120,1089
20211117,1121
20211116,1111
20211115,1079
20211114,1079
20211113,1050
20211110,1079
20211109,1069
20211108,1096
20211107,1126
20211106,1110
20211103,1090
20211102,1079
20211101,1069
20211031,1089
20211030,1113
20211027,1115
20211026,1162
20211025,1173
20211023,1209
20211020,1245
20211019,1270
20211018,1270
20211017,1275
20211016,1267
20211013,1287
20211012,1326
20211011,1390
20211010,1423
20211009,1467
20211006,1505
20211004,1465
20211003,1458
20211002,1473
20210929,1515
20210928,1559
20210926,1915
20210925,1915
20210922,1915
20210921,1974
20210920,1978
20210919,1985
20210918,2006
20210915,2015
20210914,2027
20210913,2055
20210912,2097
20210911,2036
20210908,1977
20210907,1920
20210906,1837
20210905,1784
20210904,1750
20210901,1716
20210831,1641
20210830,1603
20210829,1565
20210828,1527
20210825,1456
20210824,1423
20210823,1398
20210822,1359
20210815,1327
20210814,1356
20210811,1392
20210810,1404
20210809,1437
20210808,1477
20210807,1491
20210804,1450
20210803,1209
20210802,1209
20210801,1209
20210731,1209
20210728,1209
20210727,3400
20210726,3400
20210719,3400
20210718,3400
20210717,3400
20210714,3400
20210713,3400
20210712,3472
20210711,3395
20210710,3429
20210707,3525
20210706,3457
20210705,3466
20210704,3503
20210703,3540
20210630,3540
20210629,3540
20210628,3644
20210627,3750
20210626,3656
20210623,3734
20210622,3772
20210621,3840
20210620,3855
20210619,3897
20210616,3911
20210615,3942
20210614,4039
20210613,6040
20210612,6040
20210609,6040
20210608,6051
20210607,6053
20210602,6056
20210601,6057
20210531,6079
20210530,6080
20210529,6084
20210526,6090
20210525,6090
20210524,6093
20210523,6093
20210522,6093
20210519,6093
20210518,6093
20210517,6093
20210516,6098
20210515,6099
20210512,6100
20210511,6101
20210510,6103
20210509,6106
20210508,6107
20210505,6109
20210503,6110
20210502,6110
20210501,6110
20210428,6112
20210427,6113
20210426,6122
20210425,6123
20210424,6128
20210421,6129
20210420,6130
20210419,6130
20210418,6130
20210417,6150
20210414,6151
20210413,6152
20210412,6154
20210411,6157
20210410,6158
20210407,6158
20210406,6179
20210405,6180
20210404,6182
20210403,6183
20210331,6237
20210330,6241
20210328,6245
20210327,6262
20210317,6272
20210316,6333
20210315,6348
20210314,6353
20210313,6366
20210310,6372
20210309,6395
20210308,6400
20210307,6417
20210306,6421
20210303,6432
20210302,6432
20210301,6434
20210228,6439
20210227,6471
20210224,6473
20210223,6479
20210222,6482
20210221,6485
20210220,6512
20210217,6519
20210216,6548
20210215,6567
20210214,6583
20210213,6605
20210209,6605
20210208,6729
20210207,7083
20210206,7302
20210203,7328
20210202,7401
20210201,7626
20210131,7660
20210130,7736
20210127,7975
20210126,7975
20210125,7975
20210124,7975
20210123,8331
20210120,8454
20210119,8558
20210118,8599
20210116,8666
20210113,8722
20210112,8875
20210111,8846
20210110,8639
20210109,8639
20210106,8639
